
 route : / , method :GET
 route : /data , method :GET
 route : /about , method :GET
 route : /contact , method :GET
 route : /add , method :POST
 route : /add , method :POST
 route : /add , method :POST
 route : /add , method :POST
 route : / , method :GET
 route : / , method :GET
 route : /add , method :POST
 route : /student , method :POST
 route : /students , method :POST
 route : /student , method :POST
 route : /students , method :POST
 route : /student , method :GET
 route : /student , method :GET
 route : / , method :GET
 route : /addteacher , method :POST
 route : /addteacher , method :POST
 route : /teacher/addteacher , method :POST
 route : /teacher/addteacher , method :POST
 route : /student , method :POST
 route : /student , method :GET
 route : /student/addstudent , method :GET
 route : /student/addstudent , method :POST
 route : /student , method :GET
 route : /favicon.ico , method :GET
 route : /student , method :GET
 route : /student , method :GET
 route : /student , method :GET
 route : /student , method :GET
 route : /student , method :GET
 route : /student , method :GET
 route : /student , method :GET
 route : /student , method :GET
 route : /student , method :GET
 route : /student , method :GET
